activity_id,lead_id,booking_id,activity_date,representative_name,representative_role,activity_type,activity_result,notes,duration_minutes
act_e3bf5cc63568,lead_680491b2573d,book_e833d39835e1,2026-06-14T09:11:36,Casey Bennett,Closer,Consultation,Qualified,Delectus unde est excepturi harum in repellat quae at dicta.,37
act_237949f802ba,lead_680491b2573d,book_e833d39835e1,2026-06-10T10:11:36,Casey Bennett,Closer,Call,Qualified,Facere iusto odio consequatur quo quod dolorem nemo delectus nobis cumque ratione delectus.,2
act_cc059e63d8e1,lead_c2f41a52bb59,,2026-01-19T20:12:41,Jordan Lee,Setter,Email,No Answer,Minus molestias ut laudantium voluptatum nisi quam ipsa iure.,2
act_a436b46ca081,lead_c2f41a52bb59,,2026-01-19T20:12:41,Jordan Lee,Setter,SMS,No Answer,Et distinctio explicabo nisi cum necessitatibus ducimus doloremque asperiores sit quo.,10
act_d5712d5e6aa3,lead_c2f41a52bb59,,2026-01-04T17:12:41,Jordan Lee,Setter,SMS,Interested,Placeat ea ea provident voluptas sint veniam illo quas eaque.,5
act_aeb681cf71fb,lead_c2f41a52bb59,,2026-01-02T02:12:41,Jordan Lee,Setter,SMS,Interested,Molestias veniam nam corporis distinctio quae perspiciatis odio reiciendis eius ratione.,7
act_4bf909651cd2,lead_c2f41a52bb59,,2026-01-12T23:12:41,Jordan Lee,Setter,WhatsApp,Connected,Modi minima quos hic nulla sit est voluptas aspernatur.,12
act_a00b031c1eee,lead_c2f41a52bb59,book_a38c5e568306,2026-01-06T02:12:41,Morgan Reed,Closer,Follow Up,Qualified,Debitis occaecati iure nulla nesciunt ducimus fugit animi aperiam.,27
act_b6a08142e752,lead_c2f41a52bb59,book_a38c5e568306,2026-01-07T12:12:41,Morgan Reed,Closer,Consultation,Qualified,Ratione assumenda doloremque modi ipsam ratione optio beatae.,28
act_303db5c914ba,lead_6c3735df39e6,,2026-04-10T10:30:36,Taylor Brooks,Setter,Email,No Answer,Distinctio nobis eum facilis unde odit corporis.,9
act_1c7dd11820ec,lead_6c3735df39e6,,2026-04-13T23:30:36,Taylor Brooks,Setter,WhatsApp,Follow Up Required,Quam quod saepe ipsam saepe ab impedit iusto odit pariatur.,10
act_68c4e5c76a20,lead_6c3735df39e6,,2026-04-05T12:30:36,Taylor Brooks,Setter,Email,No Answer,Velit vitae itaque ad sequi nostrum.,7
act_4dea4b0ee319,lead_6c3735df39e6,,2026-03-29T10:30:36,Taylor Brooks,Setter,Email,Interested,Ducimus nam cum quaerat exercitationem veniam distinctio blanditiis.,5
act_b81350e132cf,lead_6c3735df39e6,book_d4801d78ae8e,2026-04-06T12:30:36,Casey Bennett,Closer,Follow Up,No Answer,Assumenda omnis odit veritatis molestias culpa vel natus assumenda saepe distinctio ullam eum.,36
act_81c941277edb,lead_6c3735df39e6,book_d4801d78ae8e,2026-03-30T01:30:36,Casey Bennett,Closer,Follow Up,Follow Up Required,Doloremque magnam minus vel excepturi facilis hic blanditiis atque assumenda impedit.,36
act_117fa2c7f0c4,lead_3d93ab84b8b0,,2026-03-26T22:21:36,Taylor Brooks,Setter,Email,Connected,Voluptas ex quo odio cum iusto vel quidem unde perferendis soluta.,9
act_0defef96574b,lead_fea35c4d9f18,,2026-03-17T11:06:26,Alex Morgan,Setter,Email,Interested,Est repellendus repudiandae vero esse sit illum repudiandae.,8
act_229c226122d3,lead_fea35c4d9f18,,2026-03-10T20:06:26,Alex Morgan,Setter,Call,Connected,Assumenda sapiente eaque nobis exercitationem officiis architecto ea quibusdam doloribus.,7
act_839a9ad7be37,lead_fea35c4d9f18,,2026-03-05T16:06:26,Alex Morgan,Setter,WhatsApp,Interested,Eum eligendi reiciendis at omnis consequuntur tenetur voluptate reiciendis.,4
act_265167b48c98,lead_fea35c4d9f18,,2026-03-16T14:06:26,Alex Morgan,Setter,Email,No Answer,Error aut aspernatur voluptas vero soluta doloribus mollitia maxime quae ad natus.,8
act_117ea5dcf50f,lead_fea35c4d9f18,,2026-02-27T15:06:26,Alex Morgan,Setter,WhatsApp,Interested,Officiis delectus quae cumque veritatis est architecto.,5
act_c9c917f64639,lead_fea35c4d9f18,,2026-03-15T19:06:26,Alex Morgan,Setter,WhatsApp,No Answer,Incidunt totam nihil aliquid reiciendis repellendus illo minus possimus culpa cum provident.,9
act_3d7f7068d629,lead_fea35c4d9f18,book_e45e6f31beb9,2026-03-04T13:06:26,Riley Carter,Closer,Consultation,Follow Up Required,Enim placeat accusantium ab velit optio laborum eveniet sequi neque illum.,23
act_36c1122097d3,lead_fea35c4d9f18,book_e45e6f31beb9,2026-03-14T11:06:26,Riley Carter,Closer,Follow Up,Follow Up Required,Pariatur nisi nihil quas consequuntur dolor ex deleniti blanditiis excepturi.,54
act_6c42c7df19f9,lead_22ee575f1814,,2026-05-01T06:31:43,Jordan Lee,Setter,WhatsApp,Follow Up Required,Placeat dicta quas harum neque iure incidunt odio totam.,8
act_e206ee01f7a9,lead_22ee575f1814,,2026-04-22T10:31:43,Jordan Lee,Setter,Email,Follow Up Required,Enim distinctio assumenda maiores delectus asperiores quas tenetur ex.,7
act_b44012d6d997,lead_22ee575f1814,,2026-05-07T00:31:43,Jordan Lee,Setter,Call,Follow Up Required,Debitis suscipit expedita eum dolorem aut repellat vel qui temporibus quod mollitia.,11
act_ab744f21bd29,lead_22ee575f1814,,2026-05-04T13:31:43,Jordan Lee,Setter,Call,Follow Up Required,Sunt explicabo a harum unde eligendi facilis explicabo minima dignissimos.,1
act_6e01f34c8c76,lead_acae552b15eb,,2026-03-13T11:51:58,Alex Morgan,Setter,Email,Follow Up Required,Amet culpa voluptates magnam quos nemo vero neque recusandae repudiandae odio.,2
act_43d2a8b5b257,lead_6e5ae966ef8c,,2026-04-22T01:40:53,Alex Morgan,Setter,Call,Connected,Quasi quae soluta magnam minus atque id perspiciatis velit suscipit quam minus eligendi.,9
act_be7699f9840d,lead_c72615c21a5e,,2026-04-07T02:47:23,Alex Morgan,Setter,WhatsApp,No Answer,Quasi adipisci cupiditate distinctio voluptatum aut ducimus veniam atque.,7
act_12c3497232f7,lead_c72615c21a5e,,2026-04-08T20:47:23,Alex Morgan,Setter,WhatsApp,Interested,Officiis accusantium odit libero ea consequuntur adipisci soluta.,7
act_5a68323dbe55,lead_c72615c21a5e,,2026-04-13T20:47:23,Alex Morgan,Setter,Email,No Answer,Amet officiis eos ratione suscipit ipsam nostrum dolorem tenetur labore.,6
act_94009f04437b,lead_c72615c21a5e,book_13706c0002aa,2026-04-08T02:47:23,Casey Bennett,Closer,Consultation,No Answer,Maiores assumenda ut magni nesciunt vel quo ad facere eaque sunt eos quidem.,46
act_341cc193cc35,lead_c72615c21a5e,book_13706c0002aa,2026-04-04T06:47:23,Casey Bennett,Closer,Call,No Answer,Eligendi aliquid autem esse voluptas ea perspiciatis similique tenetur maxime laborum nemo.,5
act_4d62e2b398e4,lead_69ba608f5259,,2026-03-28T19:24:55,Jordan Lee,Setter,SMS,Interested,Sed aspernatur praesentium id nihil cum nihil vel dicta odio.,11
act_d78ea89d0bd8,lead_69ba608f5259,,2026-03-16T04:24:55,Jordan Lee,Setter,WhatsApp,Interested,Alias aperiam mollitia eligendi accusamus praesentium sed porro dolorem quos porro ut est.,5
act_3ec4227fa87e,lead_69ba608f5259,,2026-03-29T13:24:55,Jordan Lee,Setter,Email,No Answer,Aut aut et voluptatibus nemo quisquam suscipit error iusto velit fugit reprehenderit itaque.,6
act_452d8da64662,lead_69ba608f5259,,2026-04-03T01:24:55,Jordan Lee,Setter,WhatsApp,Follow Up Required,Inventore doloribus ipsam ullam quasi quis ipsam.,12
act_3a4922cd1bf2,lead_69ba608f5259,,2026-03-23T02:24:55,Jordan Lee,Setter,SMS,Follow Up Required,Repudiandae dignissimos ipsam fugiat dolores architecto voluptatem beatae vero rem.,5
act_6e2217de4dd8,lead_69ba608f5259,,2026-04-02T09:24:55,Jordan Lee,Setter,Call,Connected,Nesciunt fuga soluta est temporibus blanditiis minima error molestias et.,12
act_4e12dfd639c2,lead_69ba608f5259,book_459727800d70,2026-03-17T07:24:55,Riley Carter,Closer,Call,Follow Up Required,Earum qui cupiditate assumenda commodi aspernatur cumque unde vel.,8
act_033fb90ff351,lead_69ba608f5259,book_459727800d70,2026-03-22T04:24:55,Riley Carter,Closer,Follow Up,No Answer,Dicta blanditiis eaque pariatur architecto asperiores assumenda qui aliquid aspernatur iste esse.,17
act_c3e2a42e0359,lead_68c583a14ef0,,2026-03-18T18:07:47,Taylor Brooks,Setter,Email,No Answer,Praesentium at et labore ipsa voluptatibus sit earum consectetur.,11
act_fabdb6a009ca,lead_68c583a14ef0,,2026-03-18T23:07:47,Taylor Brooks,Setter,SMS,Interested,Animi qui cupiditate eum possimus culpa sequi labore ab voluptas quibusdam aliquam.,12
act_b2ee998c9f48,lead_e5cc7eebc745,,2026-04-04T10:55:51,Taylor Brooks,Setter,WhatsApp,Connected,Itaque officia facilis eaque deserunt possimus cum earum.,7
act_fd4473be86d5,lead_e5cc7eebc745,,2026-04-01T18:55:51,Taylor Brooks,Setter,Email,No Answer,Perspiciatis aperiam cupiditate numquam autem et recusandae eos illo.,7
act_26616a40cc11,lead_e5cc7eebc745,,2026-03-31T13:55:51,Taylor Brooks,Setter,SMS,Interested,Numquam ullam a quod cupiditate itaque consectetur quidem doloremque blanditiis ut officia voluptate.,4
act_325361e131d4,lead_e5cc7eebc745,,2026-04-02T15:55:51,Taylor Brooks,Setter,WhatsApp,No Answer,Sunt velit dolores repudiandae esse quasi expedita neque veniam soluta aliquid cupiditate.,7
act_7ae1d4728039,lead_f65c388dd797,,2026-03-10T00:44:23,Jordan Lee,Setter,Email,Interested,Porro veritatis quaerat eum praesentium nisi.,1
act_c21212b60471,lead_f65c388dd797,,2026-03-21T17:44:23,Jordan Lee,Setter,Call,No Answer,Vero nam eius ut corrupti maxime.,2
act_a94e8fbee076,lead_b24d548e1dc6,,2026-02-21T15:08:08,Alex Morgan,Setter,WhatsApp,Follow Up Required,Porro omnis mollitia tenetur tenetur nulla eos placeat perspiciatis eos voluptate.,6
act_d5018fbef42f,lead_b24d548e1dc6,,2026-02-08T20:08:08,Alex Morgan,Setter,Call,Connected,Animi enim eveniet expedita tempore odio cumque tempora accusantium quis accusantium molestiae reiciendis.,5
act_609922d22aba,lead_8cda7fd484d2,,2026-06-01T01:03:35,Alex Morgan,Setter,SMS,Follow Up Required,Dolorum maxime accusamus placeat accusamus odio nisi.,6
act_2323028d7b0b,lead_8cda7fd484d2,,2026-05-23T06:03:35,Alex Morgan,Setter,WhatsApp,Follow Up Required,Ab odit quas mollitia numquam in occaecati dicta non corrupti veritatis commodi.,4
act_debccb0ff433,lead_8cda7fd484d2,,2026-05-31T02:03:35,Alex Morgan,Setter,WhatsApp,Interested,Molestias id accusantium recusandae eum modi dolor voluptas cupiditate tempore dolorem libero.,3
act_ae3a4fca2a7a,lead_51f1987401e9,,2026-06-13T15:39:22,Alex Morgan,Setter,SMS,Follow Up Required,Esse consequuntur architecto quo hic animi distinctio minima.,5
act_bb80f3dc3c41,lead_3fcf0bb1e7ac,,2026-05-22T07:35:30,Jordan Lee,Setter,Email,Connected,Ducimus molestiae officia earum vel cumque perferendis.,10
act_10e9106bd0b9,lead_3fcf0bb1e7ac,,2026-05-19T18:35:30,Jordan Lee,Setter,Email,Follow Up Required,Placeat deleniti debitis vel error quidem voluptates blanditiis.,10
act_be312e27bf0e,lead_3fcf0bb1e7ac,,2026-05-13T21:35:30,Jordan Lee,Setter,WhatsApp,Connected,Necessitatibus aspernatur magni atque magni deserunt vel tenetur dolores dolorem vel possimus quaerat.,2
act_fd79466bf156,lead_3fcf0bb1e7ac,book_65421b539ad4,2026-05-16T19:35:30,Morgan Reed,Closer,Consultation,No Answer,Aspernatur ea optio repudiandae ducimus consectetur laboriosam quaerat.,43
act_c84eeea73892,lead_3fcf0bb1e7ac,book_65421b539ad4,2026-05-18T11:35:30,Morgan Reed,Closer,Follow Up,No Answer,Voluptatibus tenetur ullam odio voluptatibus reiciendis quo cumque cupiditate.,29
act_3956d302d654,lead_954685f7a5c3,,2026-04-30T01:27:13,Taylor Brooks,Setter,WhatsApp,Interested,Nostrum similique dicta dolor ducimus similique facilis amet distinctio voluptatem.,6
act_d941e54f672f,lead_78867dd19775,,2026-05-20T22:51:09,Alex Morgan,Setter,WhatsApp,Follow Up Required,Sed corporis amet temporibus voluptatum amet omnis rerum quos.,11
act_7cc301a0917f,lead_78867dd19775,,2026-05-25T12:51:09,Alex Morgan,Setter,WhatsApp,Connected,A veritatis laborum veritatis quia fugit quis veritatis explicabo.,4
act_ed2a5eedef52,lead_78867dd19775,,2026-05-28T17:51:09,Alex Morgan,Setter,WhatsApp,Follow Up Required,Ipsam laborum atque quasi quasi iusto doloremque doloremque voluptatum magnam libero voluptas.,6
act_198bb3899bca,lead_78867dd19775,,2026-06-03T14:51:09,Alex Morgan,Setter,Call,Follow Up Required,Delectus modi ut quibusdam totam enim.,8
act_ea47826039b1,lead_08e658ea38b4,,2026-02-15T09:11:36,Taylor Brooks,Setter,WhatsApp,Interested,Eveniet nisi enim rerum fugit autem.,5
act_b3d05fbf7c89,lead_08e658ea38b4,,2026-02-08T10:11:36,Taylor Brooks,Setter,Email,Connected,Cumque vel suscipit blanditiis quia temporibus itaque odio culpa molestiae sunt reiciendis explicabo.,9
act_2d5e64e4beb1,lead_08e658ea38b4,,2026-02-14T20:11:36,Taylor Brooks,Setter,Email,Connected,Ea consequatur iste incidunt sit quaerat tempore ipsum.,6
act_63457ba161af,lead_e41063ef33dc,,2026-06-12T23:45:21,Jordan Lee,Setter,WhatsApp,Follow Up Required,Aspernatur sed possimus velit aperiam ipsum.,5
act_0ae98679bca7,lead_e41063ef33dc,,2026-06-06T07:45:21,Jordan Lee,Setter,Call,Connected,Ex hic itaque eos dolorum beatae suscipit iste esse error.,7
act_00cf00ecf5b7,lead_3f4b47804fca,,2026-02-19T03:36:00,Taylor Brooks,Setter,WhatsApp,Follow Up Required,Ratione ratione natus aliquam quae veniam praesentium laborum laudantium tempore qui maiores doloremque.,1
act_d2af230632ca,lead_3f4b47804fca,,2026-02-13T14:36:00,Taylor Brooks,Setter,Email,Connected,Voluptate voluptates nemo consequatur perferendis quas voluptatem ab.,8
act_a6a3c8b4b45b,lead_3f4b47804fca,,2026-02-20T16:36:00,Taylor Brooks,Setter,WhatsApp,Follow Up Required,Dolore blanditiis modi rem blanditiis eum est placeat.,2
act_0b719f0697d1,lead_3f4b47804fca,,2026-02-20T14:36:00,Taylor Brooks,Setter,Email,Follow Up Required,Nulla deserunt quod dolorem velit vel deleniti fuga.,4
act_5836959965d7,lead_c1004be7aa5f,,2026-04-04T08:28:43,Taylor Brooks,Setter,Call,No Answer,Autem ullam ipsam dolore corrupti quae fuga possimus.,8
act_b91e327a8163,lead_c1004be7aa5f,,2026-03-29T20:28:43,Taylor Brooks,Setter,SMS,Connected,Mollitia maiores similique tenetur molestias quo molestiae praesentium natus.,10
act_8ae8b4b13d8a,lead_c1004be7aa5f,,2026-04-11T07:28:43,Taylor Brooks,Setter,Call,No Answer,Iure consequuntur debitis nesciunt soluta laboriosam aliquam nihil tenetur doloremque reiciendis optio sapiente.,12
act_7c8d4b2be53d,lead_c1004be7aa5f,book_c0e2c1dfd2ad,2026-03-29T07:28:43,Riley Carter,Closer,Call,Qualified,Distinctio neque occaecati in adipisci veritatis rerum natus tenetur tenetur quisquam.,7
act_09c844cc5078,lead_c1004be7aa5f,book_c0e2c1dfd2ad,2026-04-13T01:28:43,Riley Carter,Closer,Follow Up,Qualified,Aperiam harum architecto necessitatibus ducimus hic aliquam officiis praesentium veniam quibusdam sed.,47
act_b5f873c74fac,lead_ed6332bb504f,,2026-03-24T09:39:52,Jordan Lee,Setter,SMS,Interested,Earum earum aperiam molestias aspernatur autem ea cumque quod.,5
act_9f6aa7ae1474,lead_ed6332bb504f,,2026-03-20T04:39:52,Jordan Lee,Setter,Email,Connected,Eum suscipit dolorem qui voluptatibus quia minima consequatur.,6
act_a58ad8d29889,lead_ed6332bb504f,book_e8c812a20927,2026-03-16T07:39:52,Casey Bennett,Closer,Consultation,Qualified,Error sequi accusantium cum quasi unde unde debitis porro rerum culpa porro.,26
act_4710ba4c0ed9,lead_ed6332bb504f,book_e8c812a20927,2026-03-18T04:39:52,Casey Bennett,Closer,Follow Up,Qualified,Laborum vero voluptas tempora corporis architecto blanditiis eaque.,17
act_bc7f8aff230b,lead_64dc23b91d7b,,2026-02-02T11:55:20,Jordan Lee,Setter,Call,Interested,Architecto harum vero doloremque culpa iure quidem recusandae ipsa.,1
act_0b1dcbe68078,lead_c5a6b0e2c6ef,,2026-03-25T08:11:49,Taylor Brooks,Setter,Call,No Answer,Ipsam autem nemo praesentium illum explicabo praesentium error hic quas odit.,4
act_8082ade665cb,lead_940d579a7111,,2026-03-01T23:19:55,Alex Morgan,Setter,Email,Follow Up Required,Enim quis aperiam fugit modi ea officia veritatis quos nisi laudantium.,2
act_c6641bbd5779,lead_940d579a7111,,2026-03-02T01:19:55,Alex Morgan,Setter,WhatsApp,Interested,Possimus quidem id culpa commodi at libero quibusdam harum accusantium dolores.,2
act_e5f44a97e97f,lead_940d579a7111,,2026-03-11T01:19:55,Alex Morgan,Setter,Call,Interested,A ullam molestiae aperiam quos ad laboriosam praesentium molestiae voluptate blanditiis saepe rerum.,4
act_e43b7a8af897,lead_940d579a7111,book_712ef111871b,2026-03-01T23:19:55,Morgan Reed,Closer,Follow Up,Follow Up Required,Quasi dignissimos odit architecto molestiae perspiciatis aliquid tenetur.,34
act_b277dd98164f,lead_940d579a7111,book_712ef111871b,2026-03-20T00:19:55,Morgan Reed,Closer,Follow Up,Follow Up Required,Et quasi at dicta numquam corrupti labore soluta.,20
act_050d84c98a1a,lead_5403beddd349,,2026-05-26T18:41:52,Taylor Brooks,Setter,WhatsApp,Follow Up Required,Soluta eaque possimus quas eligendi eligendi laboriosam cum maxime.,1
act_2d139468c541,lead_5403beddd349,,2026-05-28T03:41:52,Taylor Brooks,Setter,Email,Follow Up Required,Quae saepe enim reiciendis repellendus quas itaque repellendus iste ad unde nam.,10
act_1f80307306a6,lead_5403beddd349,,2026-05-26T19:41:52,Taylor Brooks,Setter,WhatsApp,Follow Up Required,Necessitatibus neque ea sint perspiciatis fugiat dolor inventore voluptate sit deleniti.,11
act_6002cc226cc7,lead_5403beddd349,,2026-05-27T14:41:52,Taylor Brooks,Setter,WhatsApp,Connected,Assumenda natus et quam sequi saepe dignissimos adipisci laudantium similique.,10
act_a00d3f5f43ec,lead_5403beddd349,,2026-05-27T16:41:52,Taylor Brooks,Setter,Call,Interested,Natus nobis debitis voluptatem debitis assumenda cum illo et totam quaerat nam.,3
act_9f75ec2f59fb,lead_5403beddd349,book_407dc68d9331,2026-05-25T07:41:52,Morgan Reed,Closer,Follow Up,Qualified,Ipsa asperiores cupiditate temporibus cupiditate quae quidem quasi non deleniti.,52
act_3dd1967f8796,lead_5403beddd349,book_407dc68d9331,2026-05-26T04:41:52,Morgan Reed,Closer,Call,Qualified,Consectetur voluptas magni enim dolorem perferendis reiciendis delectus totam ducimus quam.,10
act_a4a4def3ce4e,lead_298076e8d46f,,2026-03-21T06:31:24,Jordan Lee,Setter,Email,Connected,Sint explicabo possimus animi eaque delectus natus.,4
act_f704a21082ce,lead_f7b0032efdcc,,2026-02-18T11:37:33,Jordan Lee,Setter,Call,Connected,Molestiae magnam officiis corrupti laboriosam nulla.,12
act_20bc08f401ce,lead_f7b0032efdcc,,2026-02-15T05:37:33,Jordan Lee,Setter,SMS,Follow Up Required,Inventore reiciendis iure dignissimos deserunt atque cumque quia amet non soluta.,5
act_cd02ba3e55f7,lead_332fb6d07f52,,2026-04-16T05:10:17,Alex Morgan,Setter,Email,Interested,Expedita distinctio impedit tempora modi rem minus esse officiis quae qui libero.,8
act_c13074558173,lead_d11d1bc81012,,2026-06-15T15:05:27,Taylor Brooks,Setter,WhatsApp,Connected,Similique voluptas nam repellat architecto corrupti magni voluptatem voluptatibus quibusdam expedita ratione excepturi.,3
act_f13148e54cd2,lead_d11d1bc81012,,2026-05-28T07:05:27,Taylor Brooks,Setter,Call,Interested,Ea fuga illo enim placeat odio totam sed possimus amet soluta aliquid iure.,6
act_a1fd7d651634,lead_c64dcd59296b,,2026-04-11T05:20:22,Jordan Lee,Setter,SMS,No Answer,Molestias provident voluptate nulla cum sint suscipit labore.,7
act_a0910901b128,lead_302bfb6a6b97,,2026-05-07T07:05:08,Taylor Brooks,Setter,Call,Interested,Aliquid tenetur excepturi dolorum quaerat blanditiis culpa quisquam vero cumque.,5
act_a31ae869e6d5,lead_302bfb6a6b97,,2026-05-01T12:05:08,Taylor Brooks,Setter,WhatsApp,Connected,Sunt perspiciatis necessitatibus facilis et accusamus perspiciatis iste et.,9
act_64c4fc6f92ae,lead_302bfb6a6b97,,2026-05-06T15:05:08,Taylor Brooks,Setter,Call,Interested,Ex quos iusto ipsam dolores fugiat pariatur.,12
act_7684adc47929,lead_302bfb6a6b97,,2026-05-02T12:05:08,Taylor Brooks,Setter,Email,Connected,Deleniti ab ipsam tempora illum molestiae id debitis quidem numquam error non.,8
act_4deae7b84627,lead_abbb6cd13696,,2026-04-30T23:07:07,Taylor Brooks,Setter,Email,Connected,Saepe vero itaque iure consequatur nulla quam libero earum accusamus id eligendi pariatur.,4
act_8eb0c04036d9,lead_abbb6cd13696,,2026-05-06T22:07:07,Taylor Brooks,Setter,Email,Interested,Esse ad quaerat nisi totam nostrum fugit accusantium repudiandae quibusdam.,2
act_9b7ac967af8f,lead_abbb6cd13696,,2026-05-20T11:07:07,Taylor Brooks,Setter,Call,Connected,Nam architecto odit necessitatibus repellat modi saepe quae alias.,12
act_af0bc5a43953,lead_cf1b9ff79f10,,2026-05-29T10:15:36,Alex Morgan,Setter,WhatsApp,Connected,Consequatur nihil voluptate temporibus aspernatur laborum error.,6
act_1670d36ca60b,lead_cf1b9ff79f10,,2026-05-20T08:15:36,Alex Morgan,Setter,Call,Follow Up Required,Odio deleniti numquam unde quasi expedita ducimus vitae labore optio recusandae ea.,5
act_102a1897e823,lead_d4daa4fe53ce,,2026-05-17T16:38:54,Jordan Lee,Setter,WhatsApp,Interested,Perferendis autem fugiat deleniti ipsa in sit sunt alias perferendis.,4
act_89a47515897a,lead_d4daa4fe53ce,,2026-06-04T06:38:54,Jordan Lee,Setter,Call,Connected,Eveniet dicta officia quidem dolorum placeat voluptate aut debitis.,6
act_29a829922963,lead_d4daa4fe53ce,,2026-05-15T20:38:54,Jordan Lee,Setter,Call,Connected,Amet modi non laborum voluptatum magni eum suscipit nihil pariatur.,3
act_38ceeada50d6,lead_d4daa4fe53ce,,2026-05-19T20:38:54,Jordan Lee,Setter,Email,Interested,Ut saepe incidunt in odio numquam ex autem molestias quibusdam magni ipsum.,5
act_9e91bb78c482,lead_665a2d901405,,2026-03-31T14:30:13,Taylor Brooks,Setter,Email,No Answer,Provident deserunt debitis labore iste magni eum et eligendi.,4
act_b1cc889f7d34,lead_665a2d901405,,2026-04-07T23:30:13,Taylor Brooks,Setter,Email,Connected,Unde iure id maxime odit exercitationem excepturi quam pariatur est recusandae similique.,2
act_ab78a58dceac,lead_665a2d901405,,2026-03-31T11:30:13,Taylor Brooks,Setter,WhatsApp,Interested,Quidem quaerat ut sequi provident est voluptate architecto repudiandae.,10
act_7aed21dc462e,lead_665a2d901405,,2026-04-08T05:30:13,Taylor Brooks,Setter,Call,Interested,Facilis labore amet assumenda odit repellendus voluptates cum id quidem natus.,11
act_d86027f7a96d,lead_e94f3b8986a2,,2026-04-25T20:04:48,Alex Morgan,Setter,SMS,Follow Up Required,Molestiae reprehenderit commodi voluptates nesciunt ad nam.,6
act_5f139c1546b2,lead_9ef73e8efe9d,,2026-05-08T15:39:35,Alex Morgan,Setter,WhatsApp,Follow Up Required,Id repellendus in quis eius quae illum id placeat.,10
act_689c9413104f,lead_6de7dd631c5f,,2026-05-08T07:09:43,Jordan Lee,Setter,SMS,Connected,Natus dicta cum laborum eveniet reprehenderit distinctio maxime quas.,2
act_b54641d88bf9,lead_6de7dd631c5f,,2026-05-01T10:09:43,Jordan Lee,Setter,SMS,Interested,Dolorem at neque officiis facere eligendi eveniet neque.,10
act_2cf86bbf87d2,lead_6de7dd631c5f,book_e253fe1c2b33,2026-04-21T06:09:43,Riley Carter,Closer,Call,Qualified,Magnam vel occaecati quia velit rem inventore eum.,4
act_551588e0fbbe,lead_6de7dd631c5f,book_e253fe1c2b33,2026-04-24T02:09:43,Riley Carter,Closer,Follow Up,Qualified,Libero ipsum praesentium assumenda necessitatibus accusantium sapiente ut a.,31
act_9308082c1c2b,lead_95fec223a801,,2026-04-25T10:30:17,Alex Morgan,Setter,SMS,Interested,Dignissimos cumque in illum at natus.,3
act_9ffbdd78d248,lead_95fec223a801,,2026-04-18T04:30:17,Alex Morgan,Setter,Call,Interested,Quaerat repudiandae recusandae est numquam provident tempora hic voluptate veritatis possimus quod.,8
act_b8f04717b9bf,lead_713a1738bb7d,,2026-02-17T08:50:46,Jordan Lee,Setter,Call,No Answer,A sint non eos quisquam explicabo quidem culpa repellat nemo.,2
act_ab76eae4dab3,lead_713a1738bb7d,,2026-02-23T17:50:46,Jordan Lee,Setter,Email,Connected,Vero fuga itaque voluptates voluptatem culpa laboriosam vero iure hic.,4
act_84d0fcebd919,lead_9898195a53ba,,2026-04-24T01:54:34,Alex Morgan,Setter,Call,No Answer,Tenetur fugiat enim non ratione distinctio ad reprehenderit aliquid quibusdam sunt.,12
act_f12c058a21b2,lead_9898195a53ba,,2026-04-21T22:54:34,Alex Morgan,Setter,WhatsApp,No Answer,Blanditiis itaque ullam eos id molestiae.,4
act_77af1d787845,lead_9898195a53ba,,2026-05-06T13:54:34,Alex Morgan,Setter,Call,Interested,Voluptatibus tenetur eaque blanditiis quia ab molestias sequi dicta.,11
act_521055b8db70,lead_9898195a53ba,book_93db498e584b,2026-05-05T20:54:34,Casey Bennett,Closer,Consultation,Qualified,Vero dolore sequi sequi dolorem nisi fugiat.,18
act_aec202e6cd81,lead_9898195a53ba,book_93db498e584b,2026-04-18T13:54:34,Casey Bennett,Closer,Consultation,Qualified,Saepe enim odit saepe vitae dolore expedita.,27
act_5f515e2a9e01,lead_80f2bb0be7b8,,2026-04-16T12:06:18,Jordan Lee,Setter,Email,Interested,Autem eius quasi illum fugit placeat nam ullam deleniti.,8
act_683a3e96ae32,lead_1405423524ab,,2026-02-08T23:17:42,Jordan Lee,Setter,Call,No Answer,Perferendis soluta veritatis consectetur minus adipisci repellat enim numquam sapiente voluptates.,1
act_5e7c87c1b4b7,lead_1405423524ab,,2026-02-03T00:17:42,Jordan Lee,Setter,WhatsApp,Interested,Suscipit facilis explicabo pariatur accusantium consequuntur omnis perferendis.,9
act_ecad7636b215,lead_1405423524ab,,2026-01-27T17:17:42,Jordan Lee,Setter,Email,Interested,Repellat ea perspiciatis quaerat expedita eum suscipit excepturi facilis velit assumenda nemo facilis.,8
act_1b389a21f8df,lead_1405423524ab,,2026-01-25T23:17:42,Jordan Lee,Setter,WhatsApp,Follow Up Required,Quas animi recusandae numquam enim ducimus perspiciatis nesciunt aut est quo architecto consequatur.,12
act_a4d464d43f3c,lead_1405423524ab,book_b122fdc52f20,2026-02-06T14:17:42,Morgan Reed,Closer,Follow Up,No Answer,Magnam pariatur a iste doloribus quia inventore sed.,50
act_c64e9106044c,lead_1405423524ab,book_b122fdc52f20,2026-02-03T00:17:42,Morgan Reed,Closer,Consultation,Follow Up Required,Architecto vero aut soluta alias illum laborum.,53
